source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,candidate_rank
تْبِرْبِط,tbarbat,tbarbat,True,9,7,0-9,0-9,4
يِتَسَاهَل,yitsaahal,yitsaahal,True,10,9,10-19,0-9,3
طَعْوِج,ta3waj,ta3waj,True,7,6,0-9,0-9,1
يسَعِّر,ysa33ir,ysa33ir,True,7,7,0-9,0-9,1
دُوشَك,dooshak,dooshak,True,6,7,0-9,0-9,5
اِتْجَهْمَن,2itdjahnam,2itdjahnam,True,11,10,10-19,10-19,3
يِتَجَعُّد,yitja33ad,yitja33ad,True,10,9,10-19,0-9,5
كِينَا,kayaan,kiina,False,6,6,0-9,0-9,4
زَّاعِل,zaa3al,zaa3il,False,7,6,0-9,0-9,4
عْوَار,3oora,3waar,False,6,5,0-9,0-9,4
مِذْكَرَة,muzakkira,mizkara,False,9,9,0-9,0-9,2
اِنِفْشِخ,2infashakh,2infashakh,True,9,10,0-9,10-19,5
خَشِّم,khasham,khasham,True,6,7,0-9,0-9,3
دَوَافِع,dawaafi3,dawaafi3,True,8,8,0-9,0-9,1
يلِحّ,y7ill,yli77,False,5,5,0-9,0-9,4
كَتِّف,kattaf,kattaf,True,6,6,0-9,0-9,2
قْرَاب,qraab,qraab,True,6,5,0-9,0-9,1
فَشِر,fashshar,fashshir,False,5,8,0-9,0-9,5
طَقَم,taqim,taqqam,False,5,5,0-9,0-9,1
اِسْتَفْظِع,2istafdhi3,2istafdhi3,True,11,10,10-19,10-19,2
بُنَانِيق,banaaniiq,banaaniiq,True,9,9,0-9,0-9,2
ضْعَيف,d3iif,da3iif,False,6,5,0-9,0-9,3
تْجِلْبِب,tjalbab,tjalbab,True,9,7,0-9,0-9,4
فُوخِر,fookhar,fookhir,False,6,7,0-9,0-9,4
قِلَادِة,gklaade,qkilaade,False,8,7,0-9,0-9,4
شَيخ,shiikh,sheekh,False,4,6,0-9,0-9,1
جِرْزَايِة,jurzaaye,jirzaaye,False,10,8,10-19,0-9,1
يقَصِّف,yuksuf,yuksuf,True,7,6,0-9,0-9,3
اِدْرَس,2idrus,2idrus,True,7,6,0-9,0-9,3
مْزَيَّج,maziij,maziij,True,8,6,0-9,0-9,2
أَولَانِي,2awwalaani,2awwalaani,True,9,10,0-9,10-19,1
سُاء,saa2,saa2,True,4,4,0-9,0-9,3
يِزَاعِل,yzaa3il,yzaa3il,True,8,7,0-9,0-9,2
مِنْكِفِي,minkifi,minkifi,True,9,7,0-9,0-9,3
اِسْفُط,2usfut,2usfut,True,7,6,0-9,0-9,3
ذِمِّة,zimme,zimme,True,6,5,0-9,0-9,4
فَارَة,faara,faara,True,6,5,0-9,0-9,1
على الهِسِّة,3al hisse,3ala hisse,False,12,9,10-19,0-9,1
مثل المَسَّاورَة,mitil 2ilmaasuura,mitil 2ilmaasuura,True,16,17,10-19,10-19,4
طُنْجَرِي,tandjiir,tunjuri,False,9,8,0-9,0-9,3
تْثَبَّت,tsabbat,tsabbat,True,8,7,0-9,0-9,1
طُنْجُرِي,tanjiir,tunjuri,False,9,7,0-9,0-9,4
خُرْبُطَة,kharbata,kharbata,True,9,8,0-9,0-9,3
يتْسَوَّل,yitsawwal,yitsawwal,True,9,9,0-9,0-9,5
مْشَرْطِط,mshartit,mshartit,True,9,8,0-9,0-9,1
يِتْثَاقَل,yitthaaqal,yitthaaqal,True,10,10,10-19,10-19,1
هَنَاء,hanaa2,hinaa2,False,6,6,0-9,0-9,1
اِتْصَغَّف,2itfaghghas,2itfaghghas,True,10,11,10-19,10-19,5
تْوِفِر,twaffar,twaffar,True,7,7,0-9,0-9,3
اُورُط,2uurat,2uurat,True,6,6,0-9,0-9,4
غَاويِة,ghaawye,ghaawye,True,7,7,0-9,0-9,4
تْخَلَّى,tkhalla,tkhalla,True,8,7,0-9,0-9,1
ضحكة عَنْزِة عب من السخب,di7kit 3anze 3abaab maslakh,di7kit 3anze 3abab maslakh,False,24,27,20-29,20-29,3
اِتَنَوَّر,2itnawwar,2itnawwar,True,10,9,10-19,0-9,2
اِتْقَنَّم,2itnaggam,2itmannaq,False,10,9,10-19,0-9,4
يِسْتَفْغِر,yistaghfir,yistafrigh,False,11,10,10-19,10-19,4
يفوِّط,yfawwit,yfawwit,True,6,7,0-9,0-9,5
يِتْبَرَّح,yitba77ar,yitba77ar,True,10,9,10-19,0-9,5
هَرَج,haradj,harraj,False,5,6,0-9,0-9,1
أَعْطَى كِلْمِة,2i3ta kilme,2a3ta kilme,False,15,11,10-19,10-19,1
مَقْذَوع,magdhuu3,magdhuu3,True,8,8,0-9,0-9,3
تَمِم,tammim,tammim,True,5,6,0-9,0-9,5
أِدَاة,2adaa,2adaa,True,6,5,0-9,0-9,5
مَشْلُوح مَبِلَّح,mshalla7 wimballa7,mshalla7 wimballa7,True,17,18,10-19,10-19,3
دِحِق,da77ig,da77ig,True,5,6,0-9,0-9,5
طَعَط,ta33it,ta33at,False,5,6,0-9,0-9,4
اِوْدَع,2uudi3,2uudi3,True,7,6,0-9,0-9,3
بَهَادِل,bahaadil,bahaadil,True,8,8,0-9,0-9,1
عَفِّش,3afish,3affish,False,6,6,0-9,0-9,3
اِنْدَفَن,2indafan,2indafan,True,9,8,0-9,0-9,2
يِنْتَفّ,yintif,ynattif,False,8,6,0-9,0-9,3
يِبْسِب,ybasbis,ybasbis,True,7,7,0-9,0-9,4
يخَوزِق,ykhooziq,ykhooziq,True,7,8,0-9,0-9,2
مَبْعُوط,mab3uut,mab3uut,True,8,7,0-9,0-9,1
يُفْتُح,yifta7,yifta7,True,7,6,0-9,0-9,4
كَتِيب,kutayyib,katiib,False,6,8,0-9,0-9,1
عَبَين,3abeen,3abeen,True,6,6,0-9,0-9,2
اُعْصُر,2u3sur,2u3sur,True,7,6,0-9,0-9,2
يِرْوَح,yrawwi7,yruu7,False,7,7,0-9,0-9,4
يِنِطْرِم,yintirim,yintirim,True,9,8,0-9,0-9,4
اُعْبُط,2u3but,2u3but,True,7,6,0-9,0-9,1
رُسُخ,rassakh,rassikh,False,5,7,0-9,0-9,5
تْجَنَّس,tnajjas,tjannas,False,8,7,0-9,0-9,4
صَدَرِيِّة,sidriyye,sidriyye,True,10,8,10-19,0-9,1
لَادُد,laadid,laadid,True,6,6,0-9,0-9,5
أَسَرَّة,2asirra,2usra,False,8,7,0-9,0-9,4
اُغْتَال,2ightaal,2ightaal,True,8,8,0-9,0-9,4
قِصْعَة,qas3e,qus3a,False,7,5,0-9,0-9,3
اِجْذِب,2ijzib,2ijzib,True,7,6,0-9,0-9,1
خَفَّق,khafaq,khaffaq,False,6,6,0-9,0-9,3
عَظْمِة لسيَان,3admit lsaani,3admit lsaani,True,14,13,10-19,10-19,5
اِظِيل,daayil,daayil,True,6,6,0-9,0-9,4
قَرْوِش,qruush,qruush,True,7,6,0-9,0-9,3
عَول,3awwil,3awwil,True,4,6,0-9,0-9,4
اِخْتِيَار,2ikhtiyaar,2ikhtiyaar,True,10,10,10-19,10-19,1
بْوَجَّا,booja,booja,True,8,5,0-9,0-9,5
شَفِّط,shaffat,shaffat,True,6,7,0-9,0-9,3
هَوِّيِّة,hawiyye,hawiyye,True,9,7,0-9,0-9,2
يبَيِّس,yiibas,ybayyis,False,7,6,0-9,0-9,2
اِلْتَقَط,2iltaqat,2iltiqit,False,9,8,0-9,0-9,1
مْرَاوَبِة,mraawbe,mraawbe,True,10,7,10-19,0-9,5
غَدَر,ghadar,ghadar,True,5,6,0-9,0-9,1
بِنَاطِيل,banaatiil,banaatiil,True,9,9,0-9,0-9,2
شَنْدِل,shandil,shandal,False,7,7,0-9,0-9,3
عَرْقِيِّة,3irqiyye,3arqiyye,False,10,8,10-19,0-9,4
كتكتكتوَا عني الغبرة,katkatuu 3anni 2ilghabara,katkatuu 3anni 2ilghabara,True,20,25,20-29,20-29,2
يِنِسْجِم,yinsijim,yinsijim,True,9,8,0-9,0-9,5
نَحَّاسِي,nu7aasi,nu7aasi,True,9,7,0-9,0-9,5
شَابُط,shaabit,shaabit,True,6,7,0-9,0-9,5
اِنْتَقَم,2intaqam,2intaqam,True,9,8,0-9,0-9,2
يُطْمُع,ytammi3,ytammi3,True,7,7,0-9,0-9,5
خُمْرَة,khamra,khamra,True,7,6,0-9,0-9,4
رُدّ,radd,rudd,False,4,4,0-9,0-9,4
نَوَر,nawwir,nawwar,False,5,6,0-9,0-9,4
اِنْتِلِي,2itnayyal,2intili,False,9,9,0-9,0-9,4
اِنْتِهي,2intahi,2intihi,False,8,7,0-9,0-9,4
غَيَّبَت الدَّنَاي,ghayyabat 2iddinya,ghayyabat 2iddinya,True,18,18,10-19,10-19,5
شَتِت,shattat,shattit,False,5,7,0-9,0-9,5
يْؤسِّس,y2assis,y2assis,True,7,7,0-9,0-9,3
مفتحت العودَاة,miftaa7 2il3oode,mifta7it 2il3awdaa,False,14,16,10-19,10-19,5
صَبَّر,sabbir,sabbar,False,6,6,0-9,0-9,1
طَشْتَة,tishte,tashte,False,7,6,0-9,0-9,3
سْطُولِة,stuule,stuule,True,8,6,0-9,0-9,1
خُلْطَة,khalta,khalta,True,7,6,0-9,0-9,3
عَبّى رَاس,3abba raaso,3abba raaso,True,10,11,10-19,10-19,3
اِتْلَاقَى,2itlaaqa,2itlaaqa,True,10,8,10-19,0-9,1
يِتَدَلْدَق,yiddalda2,yiddalda2,True,11,9,10-19,0-9,3
اِسْتَعْلَم,2ista3lim,2ista3lam,False,11,9,10-19,0-9,1
يهَوهِو,yhawhiw,yhawhiw,True,7,7,0-9,0-9,4
دَبَّك,dabbik,dabbik,True,6,6,0-9,0-9,2
يتْلَائَم,yitlaa2am,yitlaa2am,True,9,9,0-9,0-9,2
اِدْفُش,2idfish,2idfashsh,False,7,7,0-9,0-9,4
مش عَاجبك روح اِنْطح رَاسك لحيط,mish 3aadjbak ruu7 2inta7 raasak bil7eet,mish 3aajbak ruu7 2inta7 lsawak bil7eet,False,31,40,30-39,40-49,3
قَلَادِة العصملي,qgilaadit 2il3ismalli,qgilaadit 2il3ismalli,True,16,21,10-19,20-29,5
طَوَال,twaal,twaal,True,6,5,0-9,0-9,3
أَضْرِب,2adrab,2adrab,True,7,6,0-9,0-9,5
يبَهْبَط,ybahbit,ybahbit,True,8,7,0-9,0-9,5
شَاب شعر رَاسِي,shaab sha3ir raasi,shaab sha3ir raasi,True,15,18,10-19,10-19,2
وَاجِى,waaja,waaja,True,6,5,0-9,0-9,5
مْلَعْوَن,mal3uun,mal3uun,True,9,7,0-9,0-9,5
اِنْـتَصِر,2intasar,2intasar,True,10,8,10-19,0-9,3
مَنُوي,manawi,manawi,True,6,6,0-9,0-9,5
يتْشَعْلَق,yitsha3laq,yitsha3laq,True,10,10,10-19,10-19,2
سِبِق,sabaqq,sabbaqk,False,5,6,0-9,0-9,4
مْقَرْوَنِة,maqruune,maqruune,True,11,8,10-19,0-9,2
وِحْوَح,wa7wa7,wa7wi7,False,7,6,0-9,0-9,5
تَفَسُّدي,tafsiid,tafsiid,True,9,7,0-9,0-9,2
تَذْبَل,2iddabbal,2iddabbal,True,7,9,0-9,0-9,5
يمَرِّش,yumrush,yumrush,True,7,7,0-9,0-9,2
اِنْعَزِم,2in3izim,2in3izim,True,9,8,0-9,0-9,5
مُلّ,mill,mill,True,4,4,0-9,0-9,3
اِلْزِم,2ilzim,2ilzim,True,7,6,0-9,0-9,2
يْبَقْوِر,ybaqwir,ybaqwir,True,9,7,0-9,0-9,2
نِفّ,naff,niff,False,4,4,0-9,0-9,2
تَجَبُّح,tbajja7,tjabba7,False,8,7,0-9,0-9,4
سِيبِن,saybin,saybin,True,6,6,0-9,0-9,4
خْاسِع,khaasi3,khaasi3,True,6,7,0-9,0-9,5
دَارَع,daara3,daari3,False,6,6,0-9,0-9,2
بَاع العِشْرِة,baa3 2il3ishra,baa3 2il3ishre,False,14,14,10-19,10-19,2
مَبْرَك وعَى الكَسَوّ,mabruuk 3ala siwaak,mabruuk 3ala siwaak,True,21,19,20-29,10-19,5
اِسْتَرِقّ,2istaraqq,2istaraqq,True,10,9,10-19,0-9,2
يحَتْحِت,y7at7it,y7at7it,True,8,7,0-9,0-9,1
يتْصَيَّد,yitsayyad,yitsayyad,True,9,9,0-9,0-9,2
اِدْحَر,2id7ar,2id7ar,True,7,6,0-9,0-9,1
يشَمِّت,yishmit,yishmit,True,7,7,0-9,0-9,1
اِخْطَف,2ukhtuf,2ukhtuf,True,7,7,0-9,0-9,4
يِتْجَلْعَص,yitja3las,yitdjal3as,False,11,9,10-19,0-9,2
رَكُّود,rukuud,rukuud,True,7,6,0-9,0-9,5
هَوَّا,hawa,hawa,True,6,4,0-9,0-9,2
مَسْكِن,musakkin,musakkin,True,7,8,0-9,0-9,2
مِتْعَمْشَق,mit3amshiq,mit3amshiq,True,11,10,10-19,10-19,5
مَقْطَف,maqtaf,mqattif,False,7,6,0-9,0-9,5
بَالذمِة,bizzimme,bizzimme,True,8,8,0-9,0-9,3
اِتْخَبَّص,2itkhabbas,2itkhabbas,True,10,10,10-19,10-19,1
خُبِز عَوصِي,khubiz 3awiis,khubiz 3awiis,True,12,13,10-19,10-19,4
مُسْتَقْتَل,mistaqtil,mustaqtil,False,11,9,10-19,0-9,1
جَقِّر,jaqar,jaqkar,False,6,5,0-9,0-9,3
كَائِبَات,2ikti2aab,2ikti2aab,True,9,9,0-9,0-9,3
يْوَقِّف,ywaqqif,yuuqaf,False,8,7,0-9,0-9,4
زَيِّة قُفّ الدهوة,zayy qkuffit 2iddahwe,zayy qkuffit 2iddahwe,True,18,21,10-19,20-29,5
تَفَاوُض,tfaawad,tfaawad,True,8,7,0-9,0-9,2
سِلِف,sallif,sallaf,False,5,6,0-9,0-9,4
قَلَع,qala3,qalla3,False,5,5,0-9,0-9,1
يطُشّ,ytushsh,ytushsh,True,5,7,0-9,0-9,1
يِحَتْفِل,yit7atfil,yi7tifil,False,9,9,0-9,0-9,5
بُوَاجِيب,bawaabiij,bawaajiib,False,9,9,0-9,0-9,5
مَسْلِخ,maslakh,msallikh,False,7,7,0-9,0-9,4
أُوَائِل,2awaa2il,2awaa2il,True,8,8,0-9,0-9,3
ينَتِّش,ynattish,yintish,False,7,8,0-9,0-9,1
مْحَسوم,ma7suummakhsuum,ma7suum,False,7,15,0-9,10-19,4
طَور,tawwar,tawwir,False,4,6,0-9,0-9,4
تَمْخُر,tmakhtar,tmakhkhar,False,7,8,0-9,0-9,4
جَدَعْنِة,jad3ane,jad3ane,True,9,7,0-9,0-9,4
خِنَانِيص,khanaaniis,khanaaniis,True,9,10,0-9,10-19,2
تْبَسَّط,tbassat,tbassat,True,8,7,0-9,0-9,1
تِسْقَاط,tsaaqat,tsaaqat,True,8,7,0-9,0-9,5
تْوَسْوَس,twaswas,twaswas,True,9,7,0-9,0-9,1
سَكْوِك,sakwak,sakwik,False,7,6,0-9,0-9,2
اِرْعِش,2ir3ish,2ir3ish,True,7,7,0-9,0-9,1
يْكَلْكِع,ykalki3,ykalki3,True,9,7,0-9,0-9,2
عْوَامِة,3awwame,3awwame,True,8,7,0-9,0-9,3
تَجَبُّد,tjabbad,tjabbad,True,8,7,0-9,0-9,2
فُوق فَوق,fooq fooq,fooq fooq,True,9,9,0-9,0-9,2
شَيْطَان,shaytaan,shaytaan,True,8,8,0-9,0-9,2
يْعَايي,y3aayi,y3aayi,True,7,6,0-9,0-9,5
تَهَرُّبِي,tahriib,tahriib,True,10,7,10-19,0-9,5
يِنْقَصَف,yinqisif,yinqisif,True,9,8,0-9,0-9,4
يتَزْفِت,yitzaffat,yitzaffat,True,8,9,0-9,0-9,2
هَنْدِم,handim,handam,False,7,6,0-9,0-9,3
تِحْسَاب,ta7assuban,ta7assuban,True,8,10,0-9,10-19,1
جَحْرَة,ja7ra,ja7ra,True,7,5,0-9,0-9,2
يعَنِّف,y3anfis,y3annif,False,7,7,0-9,0-9,3
اِنْحِرِق,2in7araq,2in7araq,True,9,8,0-9,0-9,4
نَشِّل,nashal,nashshil,False,6,6,0-9,0-9,4
شَلَفِة,shalfe,shalfe,True,7,6,0-9,0-9,2
ينَهِّف,ynahhif,yinhaf,False,7,7,0-9,0-9,1
جَاهّ,jaah,jaah,True,5,4,0-9,0-9,3
حَبَّر,7abbir,7abbar,False,6,6,0-9,0-9,1
يعَطِّل,y3attil,y3attil,True,7,7,0-9,0-9,2
اِنْتِظِر,2intizir,2intazar,False,9,8,0-9,0-9,2
تُرْجُمِة,tarjame,turjume,False,9,7,0-9,0-9,2
تَمَاثِيل,tamaasiil,tamaasiil,True,9,9,0-9,0-9,1
مْبَرْمَط,mbartim,mbarmit,False,9,7,0-9,0-9,5
عبَاب الله,3abaab 2alla,3abaab 2alla,True,10,12,10-19,10-19,1
مْشَرْقَم,mshaqkram,msharqim,False,9,9,0-9,0-9,5
يتْعَجَّل,yit3ajjal,yit3ajjal,True,9,9,0-9,0-9,2
يبْدَا,yibda,yibda,True,6,5,0-9,0-9,4
حُجّة,7ijje,7ijje,True,5,5,0-9,0-9,5
اِسْتَنْهَف,2istanhif,2istanhaf,False,11,9,10-19,0-9,1
أَكَمِّن,2amkan,2akman,False,8,6,0-9,0-9,4
اِرِتْبَاط,2irtibaat,2irtibaat,True,10,9,10-19,0-9,5
يُخْلُف,yikhlaf,yikhlif,False,7,7,0-9,0-9,4
اِسْتَغْمَق,2istaghmaq,2istaghmiq,False,11,10,10-19,10-19,2
عَصّى,3asa,3asa,True,5,4,0-9,0-9,5
قَوِّش,quush,qkawwash,False,6,5,0-9,0-9,2
اِتْلَقّفَن,2itlaqqan,2itlaqqan,True,11,9,10-19,0-9,3
حَبّ,7ubb,7ibb,False,4,4,0-9,0-9,1
ذَاهِب,2izhab,2izhab,True,6,6,0-9,0-9,4
تْقَرْدَن,tqardan,tqardan,True,9,7,0-9,0-9,1
ينَطْبِل,yintibil,yintibil,True,8,8,0-9,0-9,5
حَلَّش,7alash,7alash,True,6,6,0-9,0-9,2
يِنْحِب,yin7abb,yin7abb,True,7,7,0-9,0-9,5
تَنْخِيل,tankhiil,tankhiil,True,8,8,0-9,0-9,1
يَتْشَفَى,yitshaffa,yitshaffa,True,9,9,0-9,0-9,4
كُمَّاك,kamaaki,kamaaki,True,7,7,0-9,0-9,4
لَغْمَصَة,laghmasa,laghmasa,True,9,8,0-9,0-9,1
يِتْجَافَش,yiddaafash,yitjaafash,False,10,10,10-19,10-19,5
اِنْشِطِب,2inshatab,2inshatab,True,9,9,0-9,0-9,4
سُعْوَة,s3awa,s3awa,True,7,5,0-9,0-9,5
يِتَعَازَم,yit3aazam,yit3aazam,True,10,9,10-19,0-9,4
يقَرِّص,yuqrus,yiqrus,False,7,6,0-9,0-9,3
هُبُوط اِضْطِرَارِيّ,hubuut 2ittiraari,hubuut 2ittiraari,True,20,17,20-29,10-19,1
مْعَازِيم,ma3aaziim,ma3aaziim,True,9,9,0-9,0-9,3
نَحْوِر,nu7uur,nu7uur,True,7,6,0-9,0-9,3
نَضْوِة,nadwe,nadwe,True,7,5,0-9,0-9,1
تَكْرِن,takrin,takrin,True,7,6,0-9,0-9,3
مْخَرِّز,makhraz,mikhraz,False,8,7,0-9,0-9,2
تَشَجُّع,tshajja3,tshajja3,True,8,8,0-9,0-9,2
أَرَاجْلِي,2araagiil,2araagiil,True,10,9,10-19,0-9,2
يسْتَعْجِل,yista3jil,yista3jil,True,10,9,10-19,0-9,3
بَيت خُرَاب,beet kharaab,beet kharaab,True,11,12,10-19,10-19,3
جَمْرِة القِيم,jamrit 2ilmayy,jamrit 2ilqiime,False,14,14,10-19,10-19,5
تْمِضْمِض,tmadmad,tmadmad,True,9,7,0-9,0-9,4
أَبُو طَاحُونِة,2abu taa7uune,2abu taa7uune,True,15,13,10-19,10-19,2
طَابْو,taabo,taabo,True,6,5,0-9,0-9,4
سَكْنَاج,saknaaj,saknaaj,True,8,7,0-9,0-9,1
اِنْقُش,2inqashsh,2unqush,False,7,9,0-9,0-9,3
يعَلِّن,yi3lin,y3allin,False,7,6,0-9,0-9,2
عَلِّق,3allaq,3alliq,False,6,6,0-9,0-9,1
اُشْعُط,2ish3at,2ish3at,True,7,7,0-9,0-9,2
مْسَمَّكِة,mismake,masmake,False,10,7,10-19,0-9,3
دَكَتْرَة,daktara,daktara,True,9,7,0-9,0-9,5
شْهُرِّيِّة,shahriyye,shahriyye,True,11,9,10-19,0-9,4
يْحَرِّم,yi7ram,yi7ram,True,8,6,0-9,0-9,5
مَزْطَم,mzattam,mzattam,True,7,7,0-9,0-9,3
اِتْعَاَط,2it3aataf,2it3aatash,False,9,9,0-9,0-9,5
اِنْفَرَض,2infarad,2infirid,False,9,8,0-9,0-9,3
صَمِيرُه حَيض,damiiro si7i,samiiro 7ariid,False,13,12,10-19,10-19,2
اِتْبَلَّح,2itballa7,2itballa7,True,10,9,10-19,0-9,2
مْرُوح,mrawwi7,mrawwi7,True,6,7,0-9,0-9,3
خَجّ,jukhkh,jakhkh,False,4,6,0-9,0-9,5
يِزْعَل,yiz3al,yza33il,False,7,6,0-9,0-9,3
قَرْط,qarrat,qarrit,False,5,6,0-9,0-9,4
يِخْرُق,yikhruq,yukhruq,False,7,7,0-9,0-9,4
تَوَّه,tawwih,tawwah,False,6,6,0-9,0-9,1
جَقَر,jaqkar,jaqkar,True,5,6,0-9,0-9,2
رَبَي,rabbi,rabbi,True,5,5,0-9,0-9,5
مَمْرِق,2immarriq,2immarraq,False,7,9,0-9,0-9,4
بِدّ,bidd,badd,False,4,4,0-9,0-9,2
اِحْتَضَان,2i7tidaan,2i7tidaan,True,10,9,10-19,0-9,3
بيشتري سكوته,byishtiri skuuto,byishtiri skuuto,True,12,16,10-19,10-19,4
اِنْغِمِر,2inghimir,2inghamar,False,9,9,0-9,0-9,3
شِيخ,sheekh,sheekh,True,4,6,0-9,0-9,2
يِغْنَم,yighnam,yghannim,False,7,7,0-9,0-9,4
فُسَّاد,fasaad,fassaad,False,7,6,0-9,0-9,5
اِبْزَرّ,2ubzur,2ubzur,True,8,6,0-9,0-9,5
يجَرِّس,yjarris,yjarris,True,7,7,0-9,0-9,2
فُكُح,faka7,fakka7,False,5,5,0-9,0-9,5
كُرْمَشِة,karmashe,karmashe,True,9,8,0-9,0-9,3
مْتَنِّن,mtannin,mtannin,True,8,7,0-9,0-9,1
تْحَسَّر,t7assar,t7assar,True,8,7,0-9,0-9,1
لَبِس,labbas,labbis,False,5,6,0-9,0-9,5
دَهِن,dahhan,dahhin,False,5,6,0-9,0-9,4
لَغْمَط,laghmit,laghmit,True,7,7,0-9,0-9,2
كَبْشِة,kabshe,kabshe,True,7,6,0-9,0-9,1
نُفُوذ,nufuuz,nufuuz,True,6,6,0-9,0-9,1
فُطَّير,ftiir,ftiir,True,7,5,0-9,0-9,3
يثَبِّت,ysabbit,yisbit,False,7,7,0-9,0-9,2
اِتَدَهْلَز,2iddahlaz,2iddahlaz,True,11,9,10-19,0-9,2
غَالَى,ghaala,ghaala,True,6,6,0-9,0-9,2
طَاطي,taati,taati,True,5,5,0-9,0-9,2
يطَفِّش,ytaffish,ytaffish,True,7,8,0-9,0-9,3
مْعَالِيط,ma3aaliit,ma3aaliit,True,9,9,0-9,0-9,5
وُصُولِيِّة,wusuuliyye,wusuuliyye,True,11,10,10-19,10-19,1
عُمِّي,3umi,3umi,True,6,4,0-9,0-9,5
اِشْحَط,2ish7at,2ish7at,True,7,7,0-9,0-9,1
حِصَاوِي,7asaawi,7asaawi,True,8,7,0-9,0-9,5
اُنْكُح,2inka7,2inka7,True,7,6,0-9,0-9,3
عَالِق,2i3laq,3aaliq,False,6,6,0-9,0-9,5
غزَالته سَارحة,ghazaalto saar7a,ghazaalto saar7a,True,14,16,10-19,10-19,2
يِمْعَس,yim3as,yim3as,True,7,6,0-9,0-9,2
تَاخُل عظمُك,titkhalkhal 3dhaamak,taakhil 3azamak,False,12,20,10-19,20-29,3
مْدَهْوِش,madhuush,madhuush,True,9,8,0-9,0-9,2
اِتْعَكَز,2it3akkaz,2it3akkaz,True,9,9,0-9,0-9,5
تْضَبَّع,tbadda3,2iddabba3,False,8,7,0-9,0-9,4
مِصْلَحَة,musla7a,masla7a,False,9,7,0-9,0-9,3
عَشَا الميت,3asha 2ilmiyyit,3asha 2ilmiyyit,True,11,15,10-19,10-19,2
حَجَم,7ajjam,7ajjim,False,5,6,0-9,0-9,3
تْقُصَف,tqassaf,tqassaf,True,7,7,0-9,0-9,5
عَزِّم,3azzam,3azzim,False,6,6,0-9,0-9,2
اِفْزِر,2ifzur,2ifzur,True,7,6,0-9,0-9,3
يشُقّ,yshuqq,yshuqq,True,5,6,0-9,0-9,1
دَامِر الغَور,daamir 2ilghoor,daamir 2ilghoor,True,13,15,10-19,10-19,1
اِضْطِرِيَّار,2ittiraari,2ittiraari,True,13,10,10-19,10-19,5
يِسْتَقْيَم,yistaqiim,yistaqiim,True,11,9,10-19,0-9,4
تَسْعَة,tis3a,tis3a,True,7,5,0-9,0-9,1
يصَبْصِب عَرَق,ysabsib 3araq,ysabsib 3araq,True,14,13,10-19,10-19,1
مْفَطْوَم,maftuum,maftuum,True,9,7,0-9,0-9,5
يِمْسِد,ymassid,ymassid,True,7,7,0-9,0-9,4
يِتْفَضَى,yitfadda,yitfadda,True,9,8,0-9,0-9,4
نَخِر,nakhar,nakhkhir,False,5,6,0-9,0-9,4
اِتَشَغَّل,2itshaghghal,2itshaghghal,True,10,12,10-19,10-19,2
رَوِّش,riwish,rawwash,False,6,6,0-9,0-9,2
مْهَرْوَس,mahruus,mahruus,True,9,7,0-9,0-9,3
ضَيَّاق,dayaaq,dyaaq,False,7,6,0-9,0-9,1
اِتْرَصَّب,2itrabbas,2itrabbas,True,10,9,10-19,0-9,3
زُفّ,zaff,ziff,False,4,4,0-9,0-9,3
نَسَّف,nassaf,nassif,False,6,6,0-9,0-9,3
اِسْتَشِير,2istashiir,2istashiir,True,10,10,10-19,10-19,1
يِتْبَجْبَر,yitbarbadj,yitbarbadj,True,11,10,10-19,10-19,4
يقَلْقِش,ybalqish,yqkalqish,False,8,8,0-9,0-9,5
زَيَّت,zeeti,zeet,False,6,5,0-9,0-9,5
يُقَالِب,yqaalib,yqaalib,True,8,7,0-9,0-9,5
بَلْقِع,balqi3,balqa3,False,7,6,0-9,0-9,4
يغَمِّض,yighmad,yghammid,False,7,7,0-9,0-9,3
اُقْصُم,qaamis,2iqmis,False,7,6,0-9,0-9,5
طَبْعَة,tub3a,tab3a,False,7,5,0-9,0-9,1
يَا حَلَاوِة,yaa 7alaawa,yaa 7alaawa,True,12,11,10-19,10-19,1
يرَقِّط,yqarrit,yra22it,False,7,7,0-9,0-9,5
صَلْطَم,saltim,saltam,False,7,6,0-9,0-9,1
فَوَاتِير,fawaatiir,fawaatiir,True,9,9,0-9,0-9,1
رِبْحَان,rab7aan,rab7aan,True,8,7,0-9,0-9,2
نِحَاس,na77aas,nu7aas,False,6,7,0-9,0-9,4
اُعْوَر,2i3wir,2i3wir,True,7,6,0-9,0-9,5
تْسِرْسِح,tsarsa7,tsarsa7,True,9,7,0-9,0-9,4
سَمُّه عقَد,sama3o 3aqaddo,sammo 3aqaddo,False,11,14,10-19,10-19,4
كَاحِش,kaa7ish,kaa7ish,True,6,7,0-9,0-9,1
اِتْفَبْرَك,2itfabrak,2itfabrak,True,11,9,10-19,0-9,2
نَقِّط,naqqat,nuqat,False,6,6,0-9,0-9,2
بَيَّع,bii3,bayyi3,False,6,4,0-9,0-9,2
طُاز,taaz,taaz,True,4,4,0-9,0-9,4
بَوِّج,buwaj,buwaj,True,6,5,0-9,0-9,2
رَوَّض,rawwid,rawwad,False,6,6,0-9,0-9,1
مَدَّح,maddi7,mada7,False,6,6,0-9,0-9,2
