source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket
mu2akkad,مؤكد,مؤكد,True,8,4,0-9,0-9
2unkhuz,انخز,انخز,True,7,4,0-9,0-9
batno mkazziz,بطنه مقزز,بطن مزكزه,False,13,9,10-19,0-9
rawwab,روب,روب,True,6,3,0-9,0-9
naam 3ala wijho tabb,نام على وجهه طب,نام على هوجنبت,False,20,15,20-29,10-19
yinlibikh,ينلبخ,ينلبخ,True,9,5,0-9,0-9
yitkanfash,يتكنفش,يتكنفش,True,10,6,10-19,0-9
3aarad,عارض,عارض,True,6,4,0-9,0-9
ysalli,يصلى,يسلي,False,6,4,0-9,0-9
sukk,سك,سك,True,4,2,0-9,0-9
2ikhzi,اخزي,اخذي,False,6,4,0-9,0-9
makhruut,مخروط,مخروط,True,8,5,0-9,0-9
niff,نف,نف,True,4,2,0-9,0-9
2irqus,ارقص,ارقص,True,6,4,0-9,0-9
min djoorat 2il3asal,من جورة العسل,من جري العسلته,False,20,13,20-29,10-19
zallaaqka,زلاقة,زلاقة,True,9,5,0-9,0-9
ydarwikh,يدروخ,يدروخ,True,8,5,0-9,0-9
miin,مين,مين,True,4,3,0-9,0-9
wijih na7as,وجه نحس,وجه ناحس,False,11,7,10-19,0-9
madaas,مداس,مداس,True,6,4,0-9,0-9
baqbiq,بقبق,بقبق,True,6,4,0-9,0-9
tayyuun,طيون,تيون,False,7,4,0-9,0-9
ysabbi7,يصبح,يصبح,True,7,4,0-9,0-9
hazar,هزر,هزر,True,5,3,0-9,0-9
djazaawi,جزاوي,جزاوي,True,8,5,0-9,0-9
7jaab,حجاب,حجاب,True,5,4,0-9,0-9
y7ashshi,يحشي,يحشي,True,8,4,0-9,0-9
yiltiwi,يلتوي,يلتوي,True,7,5,0-9,0-9
sanakii7,سناكيح,سناكيح,True,8,6,0-9,0-9
yi3bitsh,يعبك,يعبك,True,8,4,0-9,0-9
qarshe,قرشة,قرشة,True,6,4,0-9,0-9
yrammil,يرمل,يرمل,True,7,4,0-9,0-9
tis7aaye,تصحاية,تسحاية,False,8,6,0-9,0-9
mjaaraa,مجاراة,مجارة,False,7,6,0-9,0-9
maat,مات,ماط,False,4,3,0-9,0-9
yinhilik,ينهلك,ينهلك,True,8,5,0-9,0-9
2istibdaad,استبداد,استبداد,True,10,7,10-19,0-9
2irja7,ارجح,ارجح,True,6,4,0-9,0-9
ba3as,بعص,بعص,True,5,3,0-9,0-9
naghghish,نغش,نغش,True,9,3,0-9,0-9
2itwaqqa3,اتوقع,اتوقع,True,9,5,0-9,0-9
qutur,قطر,قطور,False,5,3,0-9,0-9
2ila,إلى,إلا,False,4,3,0-9,0-9
2itjarras,اتجرس,اتجرس,True,9,5,0-9,0-9
ysuun,يصون,يسون,False,5,4,0-9,0-9
7ariiqa,حريقة,حريقة,True,7,5,0-9,0-9
huwwa,هوا,هوى,False,5,3,0-9,0-9
sultaan,سلطان,سلطان,True,7,5,0-9,0-9
fakkak,فكك,فكك,True,6,3,0-9,0-9
baqkradj,بقرج,بقرج,True,8,4,0-9,0-9
2inifjir,انفجر,انفجر,True,8,5,0-9,0-9
tjarra3,تجرع,تجرع,True,7,4,0-9,0-9
ywa77id,يوحد,يوحد,True,7,4,0-9,0-9
fsuulha 2innaaqsa,فصولها الناقصة,فسلها النقة,False,17,14,10-19,10-19
tamre,تمرة,طمرة,False,5,4,0-9,0-9
3atiyye,عطية,عطية,True,7,4,0-9,0-9
yusfut,يسفط,يصفط,False,6,4,0-9,0-9
yqushsh,يقش,يقش,True,7,3,0-9,0-9
sa7aa7iir,سحاحير,سحاحير,True,9,6,0-9,0-9
2inshatab,انشطب,انشطب,True,9,5,0-9,0-9
juu7,جوح,جوح,True,4,3,0-9,0-9
sha22ar,شقر,شقر,True,7,3,0-9,0-9
thaman,ثمن,تهمن,False,6,3,0-9,0-9
qash3ar badani,قشعر بدني,قشعر بدني,True,14,9,10-19,0-9
2itfarrak,اتفرك,اتفرك,True,9,5,0-9,0-9
2itnaafar,اتنافر,اتنافر,True,9,6,0-9,0-9
mla3la3,ملعلع,ملعلع,True,7,5,0-9,0-9
yiftiris,يفترس,يفترس,True,8,5,0-9,0-9
maa btinball btimmo fuule,ما بتنبل بثمه فولة,ما بيتن بله بلمتفة,False,25,18,20-29,10-19
7imaar wa7shi,حمار وحشي,حمر واشي,False,13,9,10-19,0-9
nahhaq,نهق,نهق,True,6,3,0-9,0-9
2ihtar,اهتر,اهتر,True,6,4,0-9,0-9
farri3,فرع,فرع,True,6,3,0-9,0-9
lakhme,لخمة,لخمة,True,6,4,0-9,0-9
bizzoor,بالزور,بزور,False,7,6,0-9,0-9
zayy,زي,زي,True,4,2,0-9,0-9
rammad,رمد,رمض,False,6,3,0-9,0-9
2ukhluq,اخلق,اخلق,True,7,4,0-9,0-9
2ulkum,الكم,الكم,True,6,4,0-9,0-9
yraqqiq,يرقق,يرققق,False,7,4,0-9,0-9
ymattir,يمتر,يمطر,False,7,4,0-9,0-9
y3udd,يعض,يعد,False,5,3,0-9,0-9
3add,عض,عد,False,4,2,0-9,0-9
kaafi2,كافئ,كافئ,True,6,4,0-9,0-9
ydayyi3,يضيع,يضيع,True,7,4,0-9,0-9
gharriz,غرز,غرز,True,7,3,0-9,0-9
shlikhta,شلختا,شلخط,False,8,5,0-9,0-9
yaa daakhil been 2ilbasale wuqishritha maa binuubak gheer rii7itha,يا داخل بين البصلة وقشرتها مابينوبك غير ريحتها,يا دخر باللللللحيا من وقطايا برشاية براق صياياينيا براق يا براقها يا يا يا يا يا يا,False,66,46,60-69,40-49
2itshakhla3,اتشخلع,اتشخلع,True,11,6,10-19,0-9
yifja3,يفجع,يفجع,True,6,4,0-9,0-9
majnuun yi7ki wu3aaqil yisma3,مجنون يحكي وعاقل يسمع,مجنوني ينعك وسك والحيجعك,False,29,21,20-29,20-29
fattat,فتت,فتت,True,6,3,0-9,0-9
tuham,تهم,طهم,False,5,3,0-9,0-9
subb,صب,صب,True,4,2,0-9,0-9
shhuur,شهور,شهور,True,6,4,0-9,0-9
rayya7,ريح,ريح,True,6,3,0-9,0-9
2intirik,انترك,انترك,True,8,5,0-9,0-9
2itkarkaz,اتكركز,اتكركز,True,9,6,0-9,0-9
2inbakhkh,انبخ,انبخ,True,9,4,0-9,0-9
mhaawi,مهاوي,مهاوي,True,6,5,0-9,0-9
7abaabiis,حبابيس,حبابيص,False,9,6,0-9,0-9
saakin,ساكن,ساكن,True,6,4,0-9,0-9
2in7iriq,انحرق,انحرق,True,8,5,0-9,0-9
yaa doob taaza,يادوب طازا,يا دبوزات,False,14,10,10-19,10-19
mfastiq,مفستق,مفستق,True,7,5,0-9,0-9
2ikmal,اكمل,اكمل,True,6,4,0-9,0-9
yu7ruk,يحرك,يحرك,True,6,4,0-9,0-9
nafs,نفس,نفس,True,4,3,0-9,0-9
tzaanakh,تزانخ,تزانخ,True,8,5,0-9,0-9
huu,هو,هو,True,3,2,0-9,0-9
2ittaffal,اتطفل,اتطفل,True,9,5,0-9,0-9
juzu2,جزء,جزأ,False,5,3,0-9,0-9
2is7,اصحى,اصح,False,4,4,0-9,0-9
2inza3,انزع,انزع,True,6,4,0-9,0-9
jiiz,جيز,جيز,True,4,3,0-9,0-9
sharbuu7 2ilmiqiikthaa,شربوح المقثاة,شرب الحمقيط,False,22,13,20-29,10-19
7abambam,حبمبم,حبمبم,True,8,5,0-9,0-9
2immarmagh,ممرمغ,امرمغ,False,10,5,10-19,0-9
joora,جورة,جورة,True,5,4,0-9,0-9
da77i,ضحي,دحي,False,5,3,0-9,0-9
2inqaas,انقاس,انقاص,False,7,5,0-9,0-9
nwaa7,نواح,نواح,True,5,4,0-9,0-9
damaane,ضمانة,دمانة,False,7,5,0-9,0-9
tadhkiir,تذكير,تدخير,False,8,5,0-9,0-9
ghassaale,غسالة,غسالة,True,9,5,0-9,0-9
3ayyit,عيط,عيط,True,6,3,0-9,0-9
7andjas,حنجص,حنجص,True,7,4,0-9,0-9
2i7shid,احشد,احشد,True,7,4,0-9,0-9
yinzif,ينزف,ينزف,True,6,4,0-9,0-9
2itnaazah,اتنازه,اتنازه,True,9,6,0-9,0-9
faqqish,فقش,فقش,True,7,3,0-9,0-9
ytoobir,طوبر,يطوبر,False,7,4,0-9,0-9
7arrad,حرض,حرد,False,6,3,0-9,0-9
khama3,خمع,خمع,True,6,3,0-9,0-9
nata3,نتع,نتع,True,5,3,0-9,0-9
2immaala7a,ممالحة,مممالحة,False,10,6,10-19,0-9
traanziit,ترانزيت,ترانيز,False,9,7,0-9,0-9
danna,دنا,دنى,False,5,3,0-9,0-9
dnaab,ذناب,ذناب,True,5,4,0-9,0-9
yziid,يزيد,يزيد,True,5,4,0-9,0-9
yqadjqidj,يقجقج,يقجقج,True,9,5,0-9,0-9
maariq,مارق,مارق,True,6,4,0-9,0-9
3ashti,عشتي,عشط,False,6,4,0-9,0-9
sakbe,سكبة,سكبة,True,5,4,0-9,0-9
dagg khshuum,دق خشوم,دا خصم,False,12,7,10-19,0-9
tjammal,تجمل,تجمل,True,7,4,0-9,0-9
mdaadaa,مداداة,مداداة,True,7,6,0-9,0-9
marra,مرة,مرى,False,5,3,0-9,0-9
ghabbar,غبر,غبر,True,7,3,0-9,0-9
2i7mali,احملي,احملي,True,7,5,0-9,0-9
kassab,كسب,كسب,True,6,3,0-9,0-9
ylaahith,يلاهث,يلاهث,True,8,5,0-9,0-9
y3attin,يعطن,يعطن,True,7,4,0-9,0-9
yitbannat,يتبنت,يتبنط,False,9,5,0-9,0-9
kharbuuta,خربوطة,خربوطة,True,9,6,0-9,0-9
3een 2il3aqil,عين العقل,عين العقلي,False,13,9,10-19,0-9
di3aaye,دعاية,دعاية,True,7,5,0-9,0-9
mwazzam,موزم,موزم,True,7,4,0-9,0-9
nabaq,نبق,نبق,True,5,3,0-9,0-9
filim ru3ub,فلم رعب,فلم عرب,False,11,7,10-19,0-9
ytawwiq,يطوق,يطوق,True,7,4,0-9,0-9
darbit 7azz,ضربة حظ,دربط حزحز,False,11,7,10-19,0-9
balbuus,بلبوص,بلبوص,True,7,5,0-9,0-9
2adaa,أداة,أداة,True,5,4,0-9,0-9
2uskut,اسكت,اسكت,True,6,4,0-9,0-9
wala3,ولع,ولع,True,5,3,0-9,0-9
dabak,دبك,دبك,True,5,3,0-9,0-9
2inshihir,انشهر,انشهر,True,9,5,0-9,0-9
tnashnash,تنشنش,تنشنش,True,9,5,0-9,0-9
ghuus,غوص,غوص,True,5,3,0-9,0-9
tbaa7as,تباحث,تباحث,True,7,5,0-9,0-9
mahrajaan,مهرجان,مهرجان,True,9,6,0-9,0-9
mirbik,مربك,مربك,True,6,4,0-9,0-9
2intibish,انطبش,انتبش,False,9,5,0-9,0-9
tashshash,طشش,طشش,True,9,3,0-9,0-9
mukhkho kbiir,مخه كبير,مخه بخر,False,13,8,10-19,0-9
zakka,زكى,زكى,True,5,3,0-9,0-9
3atwe,عطوة,عطوة,True,5,4,0-9,0-9
2imsa7,امسح,امسح,True,6,4,0-9,0-9
narfuuz,نرفوز,نرفوز,True,7,5,0-9,0-9
harbij,هربج,هربج,True,6,4,0-9,0-9
qawariit,قواريط,قواريط,True,8,6,0-9,0-9
shabaayih,شبايه,شبايه,True,9,5,0-9,0-9
ysawwiq,يسوق,يسوق,True,7,4,0-9,0-9
sadiiq saduuq,صديق صدوق,صديق صقوق,False,13,9,10-19,0-9
mitwaqqi3,متوقع,متوقع,True,9,5,0-9,0-9
tamkiin,تمكين,تمكين,True,7,5,0-9,0-9
yikshif,يكشف,يكشف,True,7,4,0-9,0-9
sab3aawi,سبعاوي,سبعاوي,True,8,6,0-9,0-9
duwal,دولة,دول,False,5,4,0-9,0-9
masraf,مصرف,مصرف,True,6,4,0-9,0-9
mnaffid,منفذ,منفض,False,7,4,0-9,0-9
7ukm 2ilhudhud,حكم الهدهد,حكم الهده,False,14,10,10-19,10-19
yraawid,يراود,يراود,True,7,5,0-9,0-9
7am7im,حمحم,حمحم,True,6,4,0-9,0-9
kimikh,كمخ,كمخ,True,6,3,0-9,0-9
bashat,بشت,بشت,True,6,3,0-9,0-9
2ashkara,أشكرا,أسخار,False,8,5,0-9,0-9
mqabbis,مقبص,مقبص,True,7,4,0-9,0-9
yitsaddad,يتسدد,يتصدد,False,9,5,0-9,0-9
yitraafaq,يترافق,يترافق,True,9,6,0-9,0-9
kahrabji,كهربجي,كهربج,False,8,6,0-9,0-9
2insili7,انصلح,انسلح,False,8,5,0-9,0-9
2in3iwij,انعوج,انعوج,True,8,5,0-9,0-9
manzuu3 2iddasam,منزوع الدسم,منزوع الدسم,True,16,11,10-19,10-19
qaawa7,قاوح,قاوح,True,6,4,0-9,0-9
sufar,سفر,سفر,True,5,3,0-9,0-9
yinsif,ينسف,ينسف,True,6,4,0-9,0-9
2a3saab,أعصاب,أعصاب,True,7,5,0-9,0-9
khud3a,خدعة,خدعة,True,6,4,0-9,0-9
qadd 2ilbalad,قد البلد,قد البله,False,13,8,10-19,0-9
ma7ya,محيا,محيا,True,5,4,0-9,0-9
shahri,شهري,شهري,True,6,4,0-9,0-9
yitkhassas,يتخصص,يتخص,False,10,5,10-19,0-9
ydaayin,يداين,يضاين,False,7,5,0-9,0-9
zirr,زر,زر,True,4,2,0-9,0-9
kabbib,كبب,كبب,True,6,3,0-9,0-9
saafikh,سافخ,سافخ,True,7,4,0-9,0-9
dawa,ضوى,دوا,False,4,3,0-9,0-9
suff,صف,سف,False,4,2,0-9,0-9
nadir,نذر,ندر,False,5,3,0-9,0-9
bushneeqka,بشنيقة,بشنيقة,True,10,6,10-19,0-9
2il kikhkh 2akhu 2ilkhara,الكخ أخو الخرا,الخ خالخ ارخ,False,25,14,20-29,10-19
hinaak,هناك,هناك,True,6,4,0-9,0-9
ybi77,يبح,يبح,True,5,3,0-9,0-9
yghuss,يغص,يغص,True,6,3,0-9,0-9
takaaliif,تكاليف,تكاليف,True,9,6,0-9,0-9
dahdak,دهدك,دهدك,True,6,4,0-9,0-9
tayyar,طير,طير,True,6,3,0-9,0-9
ynaqqis,ينقص,ينقص,True,7,4,0-9,0-9
2indi3is,اندعس,اندعس,True,8,5,0-9,0-9
buuz,بوز,بوز,True,4,3,0-9,0-9
yinfinis,ينفنس,ينفنس,True,8,5,0-9,0-9
3aash,عاش,عاش,True,5,3,0-9,0-9
t7arsam,تحرسم,تحرسم,True,7,5,0-9,0-9
3arqaan,عرقان,عرقان,True,7,5,0-9,0-9
tna7na7,تنحنح,تنحنح,True,7,5,0-9,0-9
lawa,لوى,لوى,True,4,3,0-9,0-9
2iftata7,افتتح,افتتاح,False,8,5,0-9,0-9
2intikis,انتكس,انتكس,True,8,5,0-9,0-9
mawsim,موسم,موسم,True,6,4,0-9,0-9
mshanniq,مشنق,مشنق,True,8,4,0-9,0-9
shabbik,شبك,شبك,True,7,3,0-9,0-9
yundhur,ينذر,ينذر,True,7,4,0-9,0-9
suun,صون,سون,False,4,3,0-9,0-9
khalla,خلى,خلى,True,6,3,0-9,0-9
2ihzim,اهزم,اهزم,True,6,4,0-9,0-9
2asari,أثري,أسري,False,6,4,0-9,0-9
keeka7,كيكح,كيكح,True,6,4,0-9,0-9
kimmaade,كمادة,كمادة,True,8,5,0-9,0-9
raaghib,راغب,راغب,True,7,4,0-9,0-9
marraaq 2ittariiq,مراق الطريق,مراقة الطريق,False,17,11,10-19,10-19
tamakkun,تمكن,تمكن,True,8,4,0-9,0-9
meeraamiyye,ميرامية,ميرامية,True,11,7,10-19,0-9
tsallat,تسلط,تسلط,True,7,4,0-9,0-9
2ishar,اسهر,اصهر,False,6,4,0-9,0-9
yunqur,ينقر,ينقر,True,6,4,0-9,0-9
2alla yrammil 2ilyahuud,الله يرمل اليهود,الله يرما الللضول,False,23,16,20-29,10-19
7anash,حنش,حنش,True,6,3,0-9,0-9
2akam,أكم,أكم,True,5,3,0-9,0-9
wa33az,وعظ,وعظ,True,6,3,0-9,0-9
yistahlik,يستهلك,يستهلك,True,9,6,0-9,0-9
la2ijri,لإجري,لأجير,False,7,5,0-9,0-9
2inqaal,انقال,انقال,True,7,5,0-9,0-9
3attib,عتب,عطب,False,6,3,0-9,0-9
salla,سلى,سلى,True,5,3,0-9,0-9
baashar,باشر,باشر,True,7,4,0-9,0-9
tsaawab,تصاوب,تساوب,False,7,5,0-9,0-9
2iqaame,إقامة,إقامة,True,7,5,0-9,0-9
jinni 2illi yirkabak,جن اللي يركبك,جنين الللكاب بركالك,False,20,13,20-29,10-19
fantaziyye,فنتزية,فنتزية,True,10,6,10-19,0-9
2inhab,انهب,انهب,True,6,4,0-9,0-9
yusjud,يسجد,يسجد,True,6,4,0-9,0-9
taabiq,طابق,طابق,True,6,4,0-9,0-9
masa3,مصع,مصع,True,5,3,0-9,0-9
saffil,سفل,سفل,True,6,3,0-9,0-9
silis,سلس,سلس,True,5,3,0-9,0-9
2arsal,أرسل,أرصل,False,6,4,0-9,0-9
tshaarak,تشارك,تشارك,True,8,5,0-9,0-9
khaabiz,خابز,خابز,True,7,4,0-9,0-9
laahith,لاهث,لاهث,True,7,4,0-9,0-9
mashaaghil,مشاغل,مشاغل,True,10,5,10-19,0-9
2ukhbut raasak bil7eet,اخبط راسك بالحيط,اخبط راسك حيط,False,22,16,20-29,10-19
7ajj,حج,حج,True,4,2,0-9,0-9
mkalkil,مكلكل,مكلكل,True,7,5,0-9,0-9
yqoori7,يقورح,يقورح,True,7,5,0-9,0-9
2ighmis,اغمس,اغمس,True,7,4,0-9,0-9
dal3oona,دلعونة,دلعونة,True,8,6,0-9,0-9
3aadal,عادل,عادل,True,6,4,0-9,0-9
thaawa,تهاوى,تهاوى,True,6,5,0-9,0-9
2istaqdam,استقدم,استقدم,True,9,6,0-9,0-9
3aalil,عالل,عالل,True,6,4,0-9,0-9
jiqim,جقم,جقم,True,5,3,0-9,0-9
2ataafiil,أطافيل,أتافيل,False,9,6,0-9,0-9
3aar,عار,عار,True,4,3,0-9,0-9
ywaddi,يودي,يودي,True,6,4,0-9,0-9
sha7taf,شحتف,شحتف,True,7,4,0-9,0-9
2ajall,أجل,أجل,True,6,3,0-9,0-9
2ishaarit muruur,اشارة مرور,الشارة مور,False,16,10,10-19,10-19
2itfakhan,اتفكهن,اتفخن,False,9,6,0-9,0-9
yinsidim,ينصدم,ينصدم,True,8,5,0-9,0-9
khinn,خن,خن,True,5,2,0-9,0-9
dwaam,دوام,دوام,True,5,4,0-9,0-9
mdablaj,مدبلج,مدبلج,True,7,5,0-9,0-9
fiiraan,فيران,فيران,True,7,5,0-9,0-9
mazruub,مزروب,مزروب,True,7,5,0-9,0-9
mit7affiz,متحفظ,متحفظ,True,9,5,0-9,0-9
yi7zan,يحزن,يحزن,True,6,4,0-9,0-9
sultaani,سلطاني,سلطاني,True,8,6,0-9,0-9
mish mithanni bluqmito,مش متهني بلقمته,مش مثل هنقيلب,False,22,15,20-29,10-19
2ishkhat,اشخت,اشخط,False,8,4,0-9,0-9
draas,دراس,دراس,True,5,4,0-9,0-9
3awwid,عود,عود,True,6,3,0-9,0-9
3abeed,عبيض,عبيد,False,6,4,0-9,0-9
2ikhs 3aleek,إخص عليك,اخش عليك,False,12,8,10-19,0-9
beet kharaab,بيت خراب,بيت خارب,False,12,8,10-19,0-9
7ammaale,حمالة,حمالة,True,8,5,0-9,0-9
2itsharra7,اتشرح,اتشرح,True,10,5,10-19,0-9
2iddayyaf,تضيف,تديف,False,9,4,0-9,0-9
y3aatis,يعاطس,يعاطس,True,7,5,0-9,0-9
mitkattil,متكتل,متكتل,True,9,5,0-9,0-9
yitbaaha,يتباهى,يتباهى,True,8,6,0-9,0-9
fazza3,فزع,فزع,True,6,3,0-9,0-9
kharbuushe,خربوشة,خربوشة,True,10,6,10-19,0-9
2a3yaad,أعياد,أعياد,True,7,5,0-9,0-9
2inlihid,انلهد,انلهد,True,8,5,0-9,0-9
2id7ak b3ibbak,اضحك بعبك,اضحك بعب,False,14,9,10-19,0-9
ri2if,رئف,رئف,True,5,3,0-9,0-9
mufiid,مفيد,مفيد,True,6,4,0-9,0-9
yimtili,يمتلي,يمتلي,True,7,5,0-9,0-9
ytarmikh,يطرمخ,يطرمخ,True,8,5,0-9,0-9
y7al7il zaradhum,يحلحل زردهم,يحلحل زردهم,True,16,11,10-19,10-19
2uhzur,اهزر,اهزر,True,6,4,0-9,0-9
3aayif,عايف,عايف,True,6,4,0-9,0-9
ta3maa qatle,طعماه قتلة,طعماة قلة,False,12,10,10-19,10-19
2itsarra7,اتصرح,اتسرح,False,9,5,0-9,0-9
yitfarta7,يتفرطح,يتفرطح,True,9,6,0-9,0-9
shalla7,شلح,شلح,True,7,3,0-9,0-9
khaalif tu3raf,خالف تعرف,خالف عطرف,False,14,9,10-19,0-9
mrakki,مركي,مركي,True,6,4,0-9,0-9
suura,صورة,سورة,False,5,4,0-9,0-9
lam,لم,لم,True,3,2,0-9,0-9
ydaqmiq,يدقمق,يدقمق,True,7,5,0-9,0-9
2i7lib,احلب,احلب,True,6,4,0-9,0-9
2ajwaad,أجواد,أجواد,True,7,5,0-9,0-9
yfuuq,يفوق,يفوق,True,5,4,0-9,0-9
sayyi2a,سيئة,سيئة,True,7,4,0-9,0-9
fookhar,فوخر,فوخر,True,7,4,0-9,0-9
naza3,نزع,نزع,True,5,3,0-9,0-9
faraz,فرز,فرز,True,5,3,0-9,0-9
2alf,ألف,ألف,True,4,3,0-9,0-9
2iftar,افطر,افطر,True,6,4,0-9,0-9
yidmul,يدمل,يدمل,True,6,4,0-9,0-9
yikfal,يكفل,يكفل,True,6,4,0-9,0-9
qaffil,قفل,قفل,True,6,3,0-9,0-9
yidrus,يدرس,يدرس,True,6,4,0-9,0-9
2ajzaa2,أجزاء,أجزاء,True,7,5,0-9,0-9
2itwaghwash,اتوغوش,اتوغوش,True,11,6,10-19,0-9
yfar3in,يفرعن,يفرعن,True,7,5,0-9,0-9
ymakhtir,يمختر,يمختر,True,8,5,0-9,0-9
wasat,وسط,وسط,True,5,3,0-9,0-9
7aaki,حاكي,حاكي,True,5,4,0-9,0-9
2istarja3,استرجع,استرجع,True,9,6,0-9,0-9
ybakkish,يبكس,يبكش,False,8,4,0-9,0-9
yinqaad,ينقاد,ينقاد,True,7,5,0-9,0-9
mkhaawaa,مخاواة,مخاواة,True,8,6,0-9,0-9
ribi7,ربح,ربح,True,5,3,0-9,0-9
2awbi2a,أوبئة,أوبيقة,False,7,5,0-9,0-9
yijhal,يجهل,يجهل,True,6,4,0-9,0-9
barid,برد,برد,True,5,3,0-9,0-9
2iftaras,افترس,افترس,True,8,5,0-9,0-9
ynatnit,ينطنط,ينطنط,True,7,5,0-9,0-9
la77aam,لحام,لحام,True,7,4,0-9,0-9
2uqlut,اقلط,اقلط,True,6,4,0-9,0-9
laa lissade wlaa lilhadde wlaa la3athraat 2izzaman,لا للسدة ولا للهدة ولا لعثرات الزمن,لا سلا مشدرة ولا علا تها تن اها علللها ولأرضها,False,50,35,50-59,30-39
darri,دري,دري,True,5,3,0-9,0-9
khitaab,خطاب,خطاب,True,7,4,0-9,0-9
yitrassad,يترصد,يترصد,True,9,5,0-9,0-9
2utrud,اطرد,اطرد,True,6,4,0-9,0-9
2itfa3kash,اتفعكش,اتفعكش,True,10,6,10-19,0-9
maakhid 2i7tiyaato,ماخذ احتياطه,ماخذ الحطياة,False,18,12,10-19,10-19
7awaaliish,حواليش,حواليش,True,10,6,10-19,0-9
2ishlish,اشلش,اشلش,True,8,4,0-9,0-9
2indirim,اندرم,اندرم,True,8,5,0-9,0-9
3alamaat 2ittarqiim,علامات الترقيم,علامط الطاقم,False,19,14,10-19,10-19
tooshe,طوشة,طوشة,True,6,4,0-9,0-9
7eef,حيف,حيف,True,4,3,0-9,0-9
2ibrad,ابرد,ابرد,True,6,4,0-9,0-9
7araf,حرف,حرف,True,5,3,0-9,0-9
yitwattad,يتوتد,يتوتد,True,9,5,0-9,0-9
2insakhat,انسخط,انسخط,True,9,5,0-9,0-9
7alqa,حلقة,حلقة,True,5,4,0-9,0-9
yitza33am,يتزعم,يتزعم,True,9,5,0-9,0-9
2itra77al,اترحل,اترحل,True,9,5,0-9,0-9
turshaaq,طرشاق,ترشاق,False,8,5,0-9,0-9
2akraad,أكراد,أكراد,True,7,5,0-9,0-9
qini3,قنع,قنع,True,5,3,0-9,0-9
mnaata3a,مناتعة,مناطعة,False,8,6,0-9,0-9
2inqishaa3,انقشاع,انقشاع,True,10,6,10-19,0-9
qayluule,قيلولة,قيلولة,True,8,6,0-9,0-9
yit3afshak,يتعفشك,يتعفشك,True,10,6,10-19,0-9
farwe,فروة,فروة,True,5,4,0-9,0-9
tyaab,ثياب,طياب,False,5,4,0-9,0-9
jaqkar,جقر,جقر,True,6,3,0-9,0-9
dashshib,دشب,دشب,True,8,3,0-9,0-9
kurkamme,كركمة,كركمة,True,8,5,0-9,0-9
yistaw3ib,يستوعب,يستوعب,True,9,6,0-9,0-9
2aanisa,آنسة,آنسة,True,7,4,0-9,0-9
ydafdif,يدفدف,يدفدف,True,7,5,0-9,0-9
waq3a sukhne,وقعة سخنة,وقع شكين,False,12,9,10-19,0-9
yustu,يسطو,يسطو,True,5,4,0-9,0-9
2ithattik,اتهتك,اتهتك,True,9,5,0-9,0-9
mirtizi,مرتزي,مرتزي,True,7,5,0-9,0-9
twaqqat,توقت,توقت,True,7,4,0-9,0-9
ykarwit,يكروت,يكروت,True,7,5,0-9,0-9
yusfuq,يسفق,يسفق,True,6,4,0-9,0-9
yi3di,يعدي,يعدي,True,5,4,0-9,0-9
tghayyab,تغيب,تغيب,True,8,4,0-9,0-9
2istantaj,استنتج,استنتج,True,9,6,0-9,0-9
yhajjir,يهجر,يهجر,True,7,4,0-9,0-9
2ishhir,اشهر,اشهر,True,7,4,0-9,0-9
yinta7,ينطح,ينطح,True,6,4,0-9,0-9
yit2awwah,يتأوه,يتأوه,True,9,5,0-9,0-9
mish 3aajbak ruu7 2intif 7awaadjbak,مش عاجبك روح انتف حواجبك,مش عاجبك روفح اناسك بانالحت,False,35,24,30-39,20-29
2arhaq,أرهق,أرهق,True,6,4,0-9,0-9
2indala7,اندلح,اندلح,True,8,5,0-9,0-9
soobin,صوبن,سوبن,False,6,4,0-9,0-9
yrahrit,يرهرط,يرهرط,True,7,5,0-9,0-9
shakhbat,شخبط,شخبط,True,8,4,0-9,0-9
2araagiil,أراجيل,أراجيل,True,9,6,0-9,0-9
2ifti3aal,افتعال,افتعال,True,9,6,0-9,0-9
laaziz,لازز,لاز,False,6,4,0-9,0-9
qara,قرا,قرى,False,4,3,0-9,0-9
tamalluq,تملق,تملق,True,8,4,0-9,0-9
kustuk,كستك,كستك,True,6,4,0-9,0-9
2ijzim,اجزم,اجزم,True,6,4,0-9,0-9
kaafi,كافي,كافي,True,5,4,0-9,0-9
yirbik,يربك,يربك,True,6,4,0-9,0-9
farraame,فرامة,فرامة,True,8,5,0-9,0-9
dammar,دمر,دمر,True,6,3,0-9,0-9
makhtuuf,مخطوف,مخطوف,True,8,5,0-9,0-9
shammaa3a,شماعة,شماعة,True,9,5,0-9,0-9
2in3ataf,انعطف,انعطف,True,8,5,0-9,0-9
khnaa2a,خناقة,خناء,False,7,5,0-9,0-9
mitkaddir,متكدر,متكدر,True,9,5,0-9,0-9
yindugh,يندغ,يندغ,True,7,4,0-9,0-9
basim,بصم,بصم,True,5,3,0-9,0-9
mubaaraze,مبارزة,مبارزة,True,9,6,0-9,0-9
biddo,بدو,بدود,False,5,3,0-9,0-9
kalaamo zayy hubbaal 2ittabiikh,كلامه زي هبال الطبيخ,كلامه زيته بخايتهب,False,31,20,30-39,20-29
faash,فاش,فاش,True,5,3,0-9,0-9
